Observation id,T3D24R1_sideview_1,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,/Users/regolith/Documents/DogVideos25Feb2023/SmallSideCamera/T3D24R1_SideView_720l.mp4,,,,,,,
,,,,,,,,
Observation date,2023-05-17 14:16:24,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.000,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
48.297,/Users/regolith/Documents/DogVideos25Feb2023/SmallSideCamera/T3D24R1_SideView_720l.mp4,81.920,29.97,,r,,,START
69.297,/Users/regolith/Documents/DogVideos25Feb2023/SmallSideCamera/T3D24R1_SideView_720l.mp4,81.920,29.97,,r,,,STOP
